name_road;name_ward;type_ward;name_district;type_district;name_province;type_province;;;;
hẻm 62 lữ gia;Phường 15;Phường;Quận 11;Quận;Hồ Chí Minh;City;;;;
hẻm 62 nguyễn kim;Phường 6;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 62 nguyễn lâm;Phường 7;Phường;Phú Nhuận;Quận;Hồ Chí Minh;City;;;;
hẻm 62 nguyễn ngọc phương;Phường 19;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
hẻm 62 nguyễn thông;Phường 9;Phường;Quận 3;Quận;Hồ Chí Minh;City;;;;
hẻm 62 nguyễn thượng hiền;Phường 1;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 62 nguyễn tư giản;Phường 12;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 62 ngô tất tố;Phường 19;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
hẻm 62 nhất chi mai;Phường 13;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
hẻm 62 trương phước phan;Bình Trị Đông;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 62 trường công định;Phường 14;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
hẻm 62 trần bình trọng;Phường 5;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
hẻm 62 trần huy liệu;Phường 12;Phường;Phú Nhuận;Quận;Hồ Chí Minh;City;;;;
hẻm 62 trần mai ninh;Phường 12;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
hẻm 62 trần nguyên hãn;Phường 13;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
hẻm 62 trần thánh tông;Phường 15;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
hẻm 62 trần ðình xu;Cô Giang;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
hẻm 62 tân hòa đông;Phường 14;Phường;Quận 6;Quận;Hồ Chí Minh;City;;;;
hẻm 62 võ trường toản;Phường 15;Phường;Quận 5;Quận;Hồ Chí Minh;City;;;;
hẻm 62 xóm đất;Phường 8;Phường;Quận 11;Quận;Hồ Chí Minh;City;;;;
hẻm 62 đinh bộ lĩnh;Phường 26;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
hẻm 62 điện biên phủ;Phường 17;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
hẻm 62 đường số 1;Phường 4;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 62 đường số 13a;Bình Hưng Hoà A;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 62 đường số 15;Bình Hưng Hòa;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 62 đường số 19a;Bình Hưng Hoà A;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 62 đường số 3;Phường 15;Phường;Quận 11;Quận;Hồ Chí Minh;City;;;;
hẻm 62 đường số 5d;Bình Hưng Hoà A;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 62 đường số 8;Bình Hưng Hoà B;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 62 đường trương văn thành;Hiệp Phú;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
hẻm 62/1 lâm văn bền;Tân Kiểng;Phường;Quận 7;Quận;Hồ Chí Minh;City;;;;
hẻm 62/1 trương công định;Phường 14;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
hẻm 62/1 trương phước phan;Bình Trị Đông;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 62/1 đường số 1;Phường 4;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 62/11 điện biên phủ;Phường 17;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
hẻm 62/14 phú thọ hoà;Phú Thọ Hòa;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
hẻm 62/14 điện biên phủ;Phường 17;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
hẻm 62/18 đinh bộ lĩnh;Phường 26;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
hẻm 62/2 nguyễn lâm;Phường 7;Phường;Phú Nhuận;Quận;Hồ Chí Minh;City;;;;
hẻm 62/2-4 xóm đất;Phường 8;Phường;Quận 11;Quận;Hồ Chí Minh;City;;;;
hẻm 62/20 huỳnh khương an;Phường 5;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 62/20/64 huỳnh khương an;Phường 5;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 62/25 lâm văn bền;Tân Kiểng;Phường;Quận 7;Quận;Hồ Chí Minh;City;;;;
hẻm 62/29 lâm văn bền;Tân Kiểng;Phường;Quận 7;Quận;Hồ Chí Minh;City;;;;
hẻm 62/3 nguyễn lâm;Phường 7;Phường;Phú Nhuận;Quận;Hồ Chí Minh;City;;;;
hẻm 62/47 huỳnh khương an;Phường 5;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 62/5 trương phước phan;Bình Trị Đông;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 62/53 lâm văn bền;Tân Kiểng;Phường;Quận 7;Quận;Hồ Chí Minh;City;;;;
hẻm 62/56;Phường 14;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
hẻm 62/6-8 xóm đất;Phường 8;Phường;Quận 11;Quận;Hồ Chí Minh;City;;;;
hẻm 62/61 huỳnh tịnh của;Phường 19;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
hẻm 62/65 lâm văn bền;Tân Kiểng;Phường;Quận 7;Quận;Hồ Chí Minh;City;;;;
hẻm 62/75 lâm văn bền;Tân Kiểng;Phường;Quận 7;Quận;Hồ Chí Minh;City;;;;
hẻm 62/8 ngô tất tố;Phường 19;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
hẻm 62/9 tân hòa đông;Phường 14;Phường;Quận 6;Quận;Hồ Chí Minh;City;;;;
hẻm 620;Nhơn Đức;Xã;Nhà Bè;Huyện;Hồ Chí Minh;City;;;;
hẻm 620;Tân Hưng Thuận;Phường;Quận 12;Quận;Hồ Chí Minh;City;;;;
hẻm 620/2;Nhơn Đức;Xã;Nhà Bè;Huyện;Hồ Chí Minh;City;;;;
hẻm 621 hương lộ 2;Bình Trị Đông;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 621 lũy bán bích;Phú Thạnh;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
hẻm 621 tỉnh lộ 10;Bình Trị Đông B;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 621/2 lũy bán bích;Phú Thạnh;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
hẻm 621/20 th;Phú Thạnh;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
hẻm 621/3 tỉnh lộ 10;Bình Trị Đông B;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 622 cộng hòa;Phường 13;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
hẻm 622 nguyễn kiệm;Phường 4;Phường;Phú Nhuận;Quận;Hồ Chí Minh;City;;;;
hẻm 622/6 nguyễn kiệm;Phường 4;Phường;Phú Nhuận;Quận;Hồ Chí Minh;City;;;;
hẻm 622/6/15 nguyễn kiệm;Phường 4;Phường;Phú Nhuận;Quận;Hồ Chí Minh;City;;;;
hẻm 623 cách mạng tháng 8;Phường 15;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 623 phạm văn chiêu;Phường 13;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 623 quang trung;Phường 11;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 623/20 cách mạng tháng 8;Phường 15;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 623/21 cách mạng tháng 8;Phường 15;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 623/43 cách mạng tháng 8;Phường 15;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 623/45 cách mạng tháng 8;Phường 15;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 623/6 cách mạng tháng 8;Phường 15;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 623/8 cách mạng tháng 8;Phường 15;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 624;Linh Đông;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
hẻm 624 kinh dương vương;An Lạc;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 625;Hiệp Bình Phước;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
hẻm 625 trần xuân soạn;Tân Hưng;Phường;Quận 7;Quận;Hồ Chí Minh;City;;;;
hẻm 625 xô viết nghệ tĩnh;Phường 26;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
hẻm 626 sư vạn hạnh;Phường 10;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 627;Phường 9;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
hẻm 627 phạm văn chiêu;Phường 13;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 628 hậu giang;Phường 12;Phường;Quận 6;Quận;Hồ Chí Minh;City;;;;
hẻm 628 phan văn trị;Phường 10;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 628/89;Phường 12;Phường;Quận 6;Quận;Hồ Chí Minh;City;;;;
hẻm 629 bà hạt;Phường 6;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 629 cách mạng tháng 8;Phường 15;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 629 hưng phú;Phường 9;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
hẻm 629 nguyễn ðình chiểu;Phường 2;Phường;Quận 3;Quận;Hồ Chí Minh;City;;;;
hẻm 629/18 cách mạng tháng 8;Phường 15;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 629/19 cách mạng tháng 8;Phường 15;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 629/31 cách mạng tháng 8;Phường 15;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 629/34 cách mạng tháng 8;Phường 15;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 629/47 cách mạng tháng 8;Phường 15;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 629/55 cách mạng tháng 8;Phường 15;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 629/8 cách mạng tháng 8;Phường 15;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 62c bà hom;Phường 13;Phường;Quận 6;Quận;Hồ Chí Minh;City;;;;
hẻm 62d nguyên hồng;Phường 11;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
hẻm 62l nguyên hồng;Phường 11;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
hẻm 63;Linh Xuân;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
hẻm 63;An Lạc;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 63;Long Trường;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
hẻm 63;Tăng Nhơn Phú B;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
hẻm 63;Tây Thạnh;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
hẻm 63;Tam Phú;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
hẻm 63;Linh Đông;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
hẻm 63;Linh Tây;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
hẻm 63;Trường Thọ;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
hẻm 63 bà htạ;Phường 9;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 63 bình quới;Phường 27;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
hẻm 63 bùi văn ba;Tân Thuận Đông;Phường;Quận 7;Quận;Hồ Chí Minh;City;;;;
hẻm 63 duy tân;Phường 15;Phường;Phú Nhuận;Quận;Hồ Chí Minh;City;;;;
hẻm 63 dương đình hội;Phước Long B;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
hẻm 63 gò dầu;Tân Quý;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
hẻm 63 lê lai;Phường 3;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 63 lê văn sỹ;Phường 13;Phường;Phú Nhuận;Quận;Hồ Chí Minh;City;;;;
hẻm 63 lê đình cẩn;Tân Tạo;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 63 lý thường kiệt;Phường 7;Phường;Quận 11;Quận;Hồ Chí Minh;City;;;;
hẻm 63 nghĩa hòa;Phường 6;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
hẻm 63 nguyễn biểu;Phường 1;Phường;Quận 5;Quận;Hồ Chí Minh;City;;;;
hẻm 63 nguyễn bỉnh khiêm;Phường 1;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 63 nguyễn sỹ sách;Phường 15;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
hẻm 63 nguyễn thị nhỏ;Phường 2;Phường;Quận 6;Quận;Hồ Chí Minh;City;;;;
hẻm 63 nhật tảo;Phường 4;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 63 phan tây hồ;Phường 7;Phường;Phú Nhuận;Quận;Hồ Chí Minh;City;;;;
hẻm 63 phan văn trị;Phường 14;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
hẻm 63 phó đức chính;Nguyễn Thái Bình;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
hẻm 63 phú lộc;Phường 6;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
hẻm 63 thích bửu đăng;Phường 1;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 63 trương phước phan;Bình Trị Đông;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 63 trần hữu trang;Phường 11;Phường;Phú Nhuận;Quận;Hồ Chí Minh;City;;;;
hẻm 63 tân hòa đông;Phường 14;Phường;Quận 6;Quận;Hồ Chí Minh;City;;;;
hẻm 63 tân hóa;Phường 14;Phường;Quận 6;Quận;Hồ Chí Minh;City;;;;
hẻm 63 tây hòa;Phước Long A;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
hẻm 63 võ văn hát;Long Trường;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
hẻm 63 vạn kiếp;Phường 3;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
hẻm 63 âu dương lân;Phường 3;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
hẻm 63 điện biên phủ;Phường 15;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
hẻm 63 đường 3/2;Phường 11;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 63 đường 702 hồng bàng;Phường 1;Phường;Quận 11;Quận;Hồ Chí Minh;City;;;;
hẻm 63 đường số 12;Tam Bình;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
hẻm 63 đường số 14;Bình Hưng Hoà A;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 63 đường số 9;Phường 16;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 63/10 gò dầu;Tân Quý;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
hẻm 63/11 nhật tảo;Phường 4;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 63/12;Linh Xuân;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
hẻm 63/12-14 tân hóa;Phường 14;Phường;Quận 6;Quận;Hồ Chí Minh;City;;;;
hẻm 63/14 lê văn sỹ;Phường 13;Phường;Phú Nhuận;Quận;Hồ Chí Minh;City;;;;
hẻm 63/14 nhật tảo;Phường 4;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 63/2 bình quới;Phường 27;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
hẻm 63/20 lê đình cẩn;Tân Tạo;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 63/28 bình quới;Phường 27;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
hẻm 63/28 lê đình cẩn;Tân Tạo;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 63/3 trương phước phan;Bình Trị Đông;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 63/3/2 trương phước phan;Bình Trị Đông;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 63/30 bình quới;Phường 27;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
hẻm 63/32 bình quới;Phường 27;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
hẻm 63/4 thích bửu đăng;Phường 1;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 63/6 trương phước phan;Bình Trị Đông;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 630;Phường 10;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 630;Tân Phú;Phường;Quận 7;Quận;Hồ Chí Minh;City;;;;
hẻm 630 hồng bàng;Phường 16;Phường;Quận 11;Quận;Hồ Chí Minh;City;;;;
hẻm 630 thống nhất;Phường 15;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 630 đường nguyễn xiển;Long Thạnh Mỹ;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
hẻm 630/80 thống nhất;Phường 15;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 631 hưng phú;Phường 9;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
hẻm 631 lê trọng tấn;Bình Hưng Hòa;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 631 lê đức thọ;Phường 16;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 631 tỉnh lộ 10;Bình Trị Đông B;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 631/2 lê đức thọ;Phường 16;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 631/31 lê đức thọ;Phường 16;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 631/37 lê đức thọ;Phường 16;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 631/37/7 lê đức thọ;Phường 16;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 631/38 lê đức thọ;Phường 16;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 632 lê văn thọ;Phường 13;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 632/13 lê văn thọ;Phường 13;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 633 ba đình;Phường 9;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
hẻm 633 hồng bàng;Phường 6;Phường;Quận 6;Quận;Hồ Chí Minh;City;;;;
hẻm 633 lê hồng phong;Phường 10;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 633 ðiện biên phủ;Phường 1;Phường;Quận 3;Quận;Hồ Chí Minh;City;;;;
hẻm 633/14 đường ðiện biên phủ;Phường 1;Phường;Quận 3;Quận;Hồ Chí Minh;City;;;;
hẻm 634 sư vạn hạnh;Phường 10;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 634 tỉnh lộ 10;Bình Trị Đông;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 635 bà hạt;Phường 6;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 635 hưng phú;Phường 9;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
hẻm 635 hương lộ 2;Bình Trị Đông;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 636;Linh Đông;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
hẻm 636 lê quang định;Phường 1;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 637 nguyễn ðình chiểu;Phường 2;Phường;Quận 3;Quận;Hồ Chí Minh;City;;;;
hẻm 637 phạm thế hiển;Phường 4;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
hẻm 637 quang trung;Phường 11;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 637 tỉnh lộ 10;Bình Trị Đông B;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 637 điện biên phủ;Phường 25;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
hẻm 637/109 quang trung;Phường 11;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 637/117 quang trung;Phường 11;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 637/13 quang trung;Phường 11;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 637/26 tỉnh lộ 10;Bình Trị Đông B;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 637/3 tỉnh lộ 10;Bình Trị Đông B;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 637/36 quang trung;Phường 11;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 637/37 quang trung;Phường 11;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 637/47 quang trung;Phường 11;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 637/61 quang trung;Phường 11;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 638 lê hồng phong;Phường 10;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 638 lê quang định;Phường 1;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 638 lê trọng tấn;Bình Hưng Hòa;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 638 quang trung;Phường 11;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 638/12 quang trung;Phường 11;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 638/16 quang trung;Phường 11;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 638/25 lê trọng tấn;Bình Hưng Hòa;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 638/26 lê trọng tấn;Bình Hưng Hòa;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 638/34 quang trung;Phường 11;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 638/42 lê trọng tấn;Bình Hưng Hòa;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 638/45 lê trọng tấn;Bình Hưng Hòa;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 638/50 lê trọng tấn;Bình Hưng Hòa;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 638/50/15 lê trọng tấn;Bình Hưng Hòa;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 638/57 lê trọng tấn;Bình Hưng Hòa;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 638/72 lê trọng tấn;Bình Hưng Hòa;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 639 hương lộ 2;Bình Trị Đông;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 63a lý thường kiệt;Phường 7;Phường;Quận 11;Quận;Hồ Chí Minh;City;;;;
hẻm 64;Tân Kiểng;Phường;Quận 7;Quận;Hồ Chí Minh;City;;;;
hẻm 64;Hiệp Phú;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
hẻm 64;Long Thạnh Mỹ;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
hẻm 64;Phường 4;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
hẻm 64;Tân Quý;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
hẻm 64;Bình Chiểu;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
hẻm 64 bùi văn ba;Tân Thuận Đông;Phường;Quận 7;Quận;Hồ Chí Minh;City;;;;
hẻm 64 cù lao;Phường 2;Phường;Phú Nhuận;Quận;Hồ Chí Minh;City;;;;
hẻm 64 cửu long;Phường 2;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
hẻm 64 duy tân;Phường 15;Phường;Phú Nhuận;Quận;Hồ Chí Minh;City;;;;
hẻm 64 huỳnh văn nghệ;Phường 15;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
hẻm 64 hòa bình;Phường 5;Phường;Quận 11;Quận;Hồ Chí Minh;City;;;;
hẻm 64 hòa hưng;Phường 13;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 64 liên khu 1-6;Bình Trị Đông;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 64 lê quang định;Phường 14;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
hẻm 64 lê trọng tấn;Tây Thạnh;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
hẻm 64 nguyễn khoái;Phường 2;Phường;Quận 4;Quận;Hồ Chí Minh;City;;;;
hẻm 64 nguyễn lâm;Phường 7;Phường;Phú Nhuận;Quận;Hồ Chí Minh;City;;;;
hẻm 64 nguyễn phúc chu;Phường 15;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
hẻm 64 nguyễn văn trỗi;Phường 8;Phường;Phú Nhuận;Quận;Hồ Chí Minh;City;;;;
hẻm 64 nguyễn ðình chiểu;Phường 4;Phường;Quận 3;Quận;Hồ Chí Minh;City;;;;
hẻm 64 trương phước phan;Bình Trị Đông;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 64 trường sa;Phường 17;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
hẻm 64 trần huy liệu;Phường 12;Phường;Phú Nhuận;Quận;Hồ Chí Minh;City;;;;
hẻm 64 tây hòa;Phước Long A;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
hẻm 64 âu dương lân;Phường 3;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
hẻm 64 đường 702 hồng bàng;Phường 1;Phường;Quận 11;Quận;Hồ Chí Minh;City;;;;
hẻm 64 đường d3;Phường 25;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
hẻm 64 đường số 14;Bình Hưng Hoà A;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 64 đường số 16;Linh Trung;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
hẻm 64 đường số 79;Tân Quy;Phường;Quận 7;Quận;Hồ Chí Minh;City;;;;
hẻm 64 đường số 8;Bình Hưng Hòa;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 64 đường tân lập 1;Hiệp Phú;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
